       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11782.00000000       0.05895929       0.05882170       0.05868394       0.05854620       0.05846998       0.05849610       0.05852218       0.05854874       0.05857909       0.05861100       0.05864312       0.05867444       0.05868008       0.05868566       0.05869124       0.05869285 
  11782.50000000       0.05895929       0.05882170       0.05868393       0.05854619       0.05846998       0.05849610       0.05852218       0.05854874       0.05857909       0.05861100       0.05864312       0.05867444       0.05868008       0.05868566       0.05869124       0.05869285 
  11783.00000000       0.05895928       0.05882169       0.05868392       0.05854619       0.05846998       0.05849610       0.05852218       0.05854874       0.05857909       0.05861100       0.05864312       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11783.50000000       0.05895928       0.05882169       0.05868392       0.05854618       0.05846998       0.05849610       0.05852218       0.05854874       0.05857909       0.05861100       0.05864312       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11784.00000000       0.05895927       0.05882168       0.05868392       0.05854617       0.05846999       0.05849610       0.05852218       0.05854874       0.05857909       0.05861100       0.05864313       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11784.50000000       0.05895927       0.05882168       0.05868391       0.05854617       0.05846999       0.05849611       0.05852218       0.05854874       0.05857909       0.05861100       0.05864313       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11785.00000000       0.05895926       0.05882167       0.05868391       0.05854617       0.05846999       0.05849611       0.05852218       0.05854874       0.05857909       0.05861101       0.05864313       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11785.50000000       0.05895926       0.05882167       0.05868390       0.05854616       0.05846999       0.05849611       0.05852218       0.05854874       0.05857909       0.05861101       0.05864313       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11786.00000000       0.05895925       0.05882166       0.05868389       0.05854616       0.05846999       0.05849611       0.05852218       0.05854874       0.05857910       0.05861101       0.05864313       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11786.50000000       0.05895925       0.05882166       0.05868389       0.05854615       0.05846999       0.05849611       0.05852218       0.05854875       0.05857910       0.05861101       0.05864313       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11787.00000000       0.05895924       0.05882165       0.05868388       0.05854614       0.05847000       0.05849611       0.05852219       0.05854875       0.05857910       0.05861101       0.05864314       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11787.50000000       0.05895924       0.05882164       0.05868388       0.05854614       0.05847000       0.05849611       0.05852219       0.05854875       0.05857910       0.05861101       0.05864314       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11788.00000000       0.05895923       0.05882164       0.05868387       0.05854613       0.05847000       0.05849611       0.05852219       0.05854875       0.05857910       0.05861101       0.05864314       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11788.50000000       0.05895923       0.05882164       0.05868387       0.05854613       0.05847000       0.05849611       0.05852219       0.05854875       0.05857911       0.05861101       0.05864314       0.05867445       0.05868008       0.05868566       0.05869124       0.05869285 
  11789.00000000       0.05895922       0.05882163       0.05868386       0.05854613       0.05847000       0.05849611       0.05852219       0.05854875       0.05857911       0.05861101       0.05864314       0.05867445       0.05868008       0.05868566       0.05869125       0.05869285 
  11789.50000000       0.05895922       0.05882163       0.05868386       0.05854612       0.05847000       0.05849612       0.05852219       0.05854875       0.05857911       0.05861102       0.05864314       0.05867445       0.05868008       0.05868566       0.05869125       0.05869285 
  11790.00000000       0.05895921       0.05882162       0.05868385       0.05854611       0.05847000       0.05849612       0.05852219       0.05854876       0.05857911       0.05861102       0.05864314       0.05867445       0.05868008       0.05868567       0.05869125       0.05869285 
  11790.50000000       0.05895920       0.05882161       0.05868385       0.05854611       0.05847000       0.05849612       0.05852219       0.05854876       0.05857911       0.05861102       0.05864314       0.05867445       0.05868008       0.05868567       0.05869125       0.05869285 
  11791.00000000       0.05895920       0.05882161       0.05868384       0.05854610       0.05847000       0.05849612       0.05852219       0.05854876       0.05857911       0.05861102       0.05864314       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11791.50000000       0.05895919       0.05882160       0.05868384       0.05854610       0.05847000       0.05849612       0.05852219       0.05854876       0.05857911       0.05861102       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11792.00000000       0.05895919       0.05882160       0.05868383       0.05854609       0.05847000       0.05849612       0.05852220       0.05854876       0.05857911       0.05861102       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11792.50000000       0.05895919       0.05882160       0.05868383       0.05854609       0.05847001       0.05849612       0.05852220       0.05854876       0.05857911       0.05861102       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11793.00000000       0.05895918       0.05882159       0.05868382       0.05854608       0.05847001       0.05849613       0.05852220       0.05854876       0.05857912       0.05861102       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11793.50000000       0.05895917       0.05882159       0.05868382       0.05854608       0.05847001       0.05849613       0.05852220       0.05854876       0.05857912       0.05861103       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11794.00000000       0.05895917       0.05882158       0.05868381       0.05854607       0.05847001       0.05849613       0.05852220       0.05854876       0.05857912       0.05861103       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11794.50000000       0.05895916       0.05882157       0.05868381       0.05854607       0.05847001       0.05849613       0.05852220       0.05854876       0.05857912       0.05861103       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11795.00000000       0.05895916       0.05882157       0.05868380       0.05854606       0.05847001       0.05849613       0.05852221       0.05854877       0.05857912       0.05861103       0.05864315       0.05867445       0.05868009       0.05868567       0.05869125       0.05869285 
  11795.50000000       0.05895893       0.05882141       0.05868371       0.05854604       0.05847002       0.05849610       0.05852213       0.05854866       0.05857899       0.05861088       0.05864299       0.05867427       0.05867990       0.05868549       0.05869107       0.05869268 
  11796.00000000       0.05895807       0.05882080       0.05868336       0.05854595       0.05847005       0.05849598       0.05852186       0.05854823       0.05857848       0.05861031       0.05864236       0.05867358       0.05867922       0.05868481       0.05869040       0.05869201 
  11796.50000000       0.05895721       0.05882020       0.05868302       0.05854587       0.05847009       0.05849585       0.05852158       0.05854781       0.05857797       0.05860973       0.05864172       0.05867289       0.05867853       0.05868413       0.05868972       0.05869135 
  11797.00000000       0.05895635       0.05881960       0.05868268       0.05854579       0.05847012       0.05849573       0.05852131       0.05854739       0.05857746       0.05860916       0.05864109       0.05867220       0.05867784       0.05868344       0.05868905       0.05869068 
  11797.50000000       0.05895550       0.05881900       0.05868233       0.05854570       0.05847014       0.05849561       0.05852103       0.05854696       0.05857695       0.05860859       0.05864046       0.05867150       0.05867716       0.05868277       0.05868837       0.05869002 
  11798.00000000       0.05895464       0.05881840       0.05868199       0.05854562       0.05847017       0.05849548       0.05852076       0.05854654       0.05857643       0.05860801       0.05863982       0.05867082       0.05867647       0.05868208       0.05868769       0.05868936 
  11798.50000000       0.05895379       0.05881780       0.05868165       0.05854554       0.05847021       0.05849536       0.05852048       0.05854612       0.05857592       0.05860744       0.05863919       0.05867013       0.05867578       0.05868140       0.05868702       0.05868869 
  11799.00000000       0.05895293       0.05881720       0.05868131       0.05854546       0.05847024       0.05849524       0.05852021       0.05854570       0.05857541       0.05860687       0.05863856       0.05866943       0.05867510       0.05868072       0.05868635       0.05868803 
  11799.50000000       0.05895207       0.05881660       0.05868096       0.05854537       0.05847027       0.05849512       0.05851993       0.05854528       0.05857491       0.05860629       0.05863793       0.05866874       0.05867441       0.05868004       0.05868567       0.05868736 
  11800.00000000       0.05895122       0.05881599       0.05868062       0.05854529       0.05847030       0.05849500       0.05851966       0.05854486       0.05857440       0.05860572       0.05863729       0.05866805       0.05867372       0.05867936       0.05868500       0.05868670 
  11800.50000000       0.05895036       0.05881539       0.05868028       0.05854521       0.05847033       0.05849487       0.05851938       0.05854443       0.05857389       0.05860515       0.05863666       0.05866736       0.05867304       0.05867868       0.05868432       0.05868604 
  11801.00000000       0.05894951       0.05881479       0.05867993       0.05854512       0.05847036       0.05849475       0.05851911       0.05854401       0.05857338       0.05860458       0.05863603       0.05866667       0.05867235       0.05867800       0.05868365       0.05868537 
  11801.50000000       0.05894865       0.05881419       0.05867959       0.05854504       0.05847039       0.05849463       0.05851883       0.05854359       0.05857287       0.05860400       0.05863540       0.05866598       0.05867166       0.05867732       0.05868297       0.05868471 
  11802.00000000       0.05894780       0.05881359       0.05867925       0.05854496       0.05847042       0.05849450       0.05851856       0.05854316       0.05857236       0.05860343       0.05863476       0.05866529       0.05867098       0.05867664       0.05868230       0.05868404 
  11802.50000000       0.05894694       0.05881299       0.05867891       0.05854487       0.05847045       0.05849438       0.05851828       0.05854274       0.05857185       0.05860285       0.05863413       0.05866460       0.05867029       0.05867596       0.05868162       0.05868338 
  11803.00000000       0.05894608       0.05881239       0.05867856       0.05854479       0.05847049       0.05849426       0.05851801       0.05854232       0.05857133       0.05860228       0.05863350       0.05866391       0.05866960       0.05867527       0.05868095       0.05868272 
  11803.50000000       0.05894523       0.05881179       0.05867822       0.05854471       0.05847052       0.05849414       0.05851773       0.05854190       0.05857082       0.05860171       0.05863287       0.05866322       0.05866892       0.05867460       0.05868027       0.05868205 
  11804.00000000       0.05894437       0.05881119       0.05867788       0.05854462       0.05847055       0.05849401       0.05851746       0.05854148       0.05857031       0.05860114       0.05863223       0.05866253       0.05866823       0.05867391       0.05867960       0.05868139 
  11804.50000000       0.05894352       0.05881059       0.05867754       0.05854454       0.05847058       0.05849389       0.05851718       0.05854105       0.05856980       0.05860056       0.05863160       0.05866184       0.05866754       0.05867323       0.05867893       0.05868073 
  11805.00000000       0.05894266       0.05880999       0.05867720       0.05854446       0.05847061       0.05849377       0.05851691       0.05854063       0.05856929       0.05859999       0.05863097       0.05866115       0.05866686       0.05867255       0.05867825       0.05868006 
  11805.50000000       0.05894181       0.05880938       0.05867685       0.05854438       0.05847064       0.05849365       0.05851663       0.05854021       0.05856878       0.05859942       0.05863034       0.05866046       0.05866617       0.05867187       0.05867758       0.05867940 
  11806.00000000       0.05894095       0.05880878       0.05867651       0.05854430       0.05847067       0.05849352       0.05851636       0.05853979       0.05856827       0.05859884       0.05862970       0.05865977       0.05866548       0.05867119       0.05867690       0.05867874 
