       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11832.50000000 UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF 
  11833.00000000       0.03532409       0.03515470       0.03510041       0.03480672       0.03430637       0.03367252       0.03300898       0.03271578       0.03241057       0.03209867       0.03183742       0.03170712       0.03157518       0.03144336       0.03136398       0.03131394 
  11833.50000000       0.03532411       0.03515474       0.03510046       0.03480677       0.03430640       0.03367255       0.03300901       0.03271579       0.03241058       0.03209868       0.03183743       0.03170712       0.03157518       0.03144336       0.03136398       0.03131394 
  11834.00000000       0.03532414       0.03515479       0.03510050       0.03480683       0.03430643       0.03367258       0.03300904       0.03271580       0.03241059       0.03209869       0.03183743       0.03170713       0.03157518       0.03144336       0.03136398       0.03131394 
  11834.50000000       0.03532416       0.03515484       0.03510055       0.03480688       0.03430646       0.03367261       0.03300906       0.03271581       0.03241060       0.03209870       0.03183743       0.03170713       0.03157518       0.03144337       0.03136398       0.03131395 
  11835.00000000       0.03532419       0.03515489       0.03510060       0.03480693       0.03430649       0.03367263       0.03300909       0.03271582       0.03241061       0.03209871       0.03183743       0.03170713       0.03157518       0.03144337       0.03136398       0.03131395 
  11835.50000000       0.03532422       0.03515494       0.03510064       0.03480698       0.03430653       0.03367266       0.03300912       0.03271583       0.03241061       0.03209871       0.03183743       0.03170713       0.03157519       0.03144338       0.03136398       0.03131395 
  11836.00000000       0.03532424       0.03515499       0.03510069       0.03480703       0.03430656       0.03367269       0.03300915       0.03271584       0.03241063       0.03209873       0.03183744       0.03170713       0.03157519       0.03144338       0.03136398       0.03131395 
  11836.50000000       0.03532427       0.03515504       0.03510074       0.03480708       0.03430659       0.03367272       0.03300918       0.03271585       0.03241063       0.03209873       0.03183744       0.03170714       0.03157519       0.03144338       0.03136398       0.03131395 
  11837.00000000       0.03532429       0.03515509       0.03510078       0.03480713       0.03430662       0.03367275       0.03300920       0.03271586       0.03241064       0.03209874       0.03183744       0.03170714       0.03157520       0.03144338       0.03136398       0.03131395 
  11837.50000000       0.03532432       0.03515514       0.03510083       0.03480719       0.03430665       0.03367278       0.03300923       0.03271587       0.03241065       0.03209875       0.03183744       0.03170714       0.03157520       0.03144339       0.03136398       0.03131395 
  11838.00000000       0.03532435       0.03515518       0.03510088       0.03480724       0.03430668       0.03367281       0.03300926       0.03271588       0.03241066       0.03209876       0.03183745       0.03170715       0.03157520       0.03144339       0.03136398       0.03131395 
  11838.50000000       0.03532437       0.03515523       0.03510092       0.03480729       0.03430672       0.03367284       0.03300928       0.03271589       0.03241067       0.03209877       0.03183745       0.03170715       0.03157520       0.03144339       0.03136398       0.03131395 
  11839.00000000       0.03532440       0.03515528       0.03510097       0.03480734       0.03430675       0.03367287       0.03300931       0.03271590       0.03241068       0.03209878       0.03183745       0.03170715       0.03157520       0.03144339       0.03136398       0.03131395 
  11839.50000000       0.03532442       0.03515533       0.03510102       0.03480740       0.03430678       0.03367290       0.03300934       0.03271591       0.03241069       0.03209879       0.03183746       0.03170715       0.03157521       0.03144340       0.03136398       0.03131395 
  11840.00000000       0.03532445       0.03515538       0.03510106       0.03480745       0.03430681       0.03367293       0.03300937       0.03271592       0.03241070       0.03209880       0.03183746       0.03170716       0.03157521       0.03144340       0.03136398       0.03131395 
  11840.50000000       0.03532448       0.03515543       0.03510111       0.03480750       0.03430684       0.03367296       0.03300940       0.03271593       0.03241071       0.03209880       0.03183746       0.03170716       0.03157521       0.03144341       0.03136398       0.03131395 
  11841.00000000       0.03532450       0.03515548       0.03510116       0.03480755       0.03430687       0.03367299       0.03300942       0.03271594       0.03241072       0.03209881       0.03183746       0.03170716       0.03157521       0.03144341       0.03136398       0.03131395 
  11841.50000000       0.03532453       0.03515553       0.03510121       0.03480760       0.03430690       0.03367302       0.03300945       0.03271595       0.03241073       0.03209882       0.03183747       0.03170716       0.03157522       0.03144341       0.03136398       0.03131395 
  11842.00000000       0.03532455       0.03515558       0.03510125       0.03480766       0.03430694       0.03367305       0.03300948       0.03271596       0.03241074       0.03209883       0.03183747       0.03170716       0.03157522       0.03144341       0.03136398       0.03131395 
  11842.50000000       0.03532458       0.03515562       0.03510130       0.03480771       0.03430697       0.03367308       0.03300951       0.03271597       0.03241075       0.03209884       0.03183747       0.03170717       0.03157522       0.03144342       0.03136398       0.03131395 
  11843.00000000       0.03532460       0.03515567       0.03510134       0.03480776       0.03430700       0.03367311       0.03300953       0.03271598       0.03241076       0.03209885       0.03183747       0.03170717       0.03157522       0.03144342       0.03136398       0.03131395 
  11843.50000000       0.03532463       0.03515572       0.03510139       0.03480781       0.03430703       0.03367314       0.03300956       0.03271599       0.03241077       0.03209886       0.03183747       0.03170717       0.03157523       0.03144342       0.03136398       0.03131395 
  11844.00000000       0.03532466       0.03515577       0.03510144       0.03480786       0.03430706       0.03367317       0.03300959       0.03271600       0.03241078       0.03209887       0.03183748       0.03170718       0.03157523       0.03144343       0.03136398       0.03131395 
  11844.50000000       0.03532468       0.03515582       0.03510148       0.03480792       0.03430709       0.03367320       0.03300961       0.03271601       0.03241079       0.03209888       0.03183748       0.03170718       0.03157523       0.03144343       0.03136398       0.03131395 
  11845.00000000       0.03532471       0.03515587       0.03510153       0.03480797       0.03430713       0.03367323       0.03300964       0.03271602       0.03241080       0.03209889       0.03183748       0.03170718       0.03157523       0.03144343       0.03136398       0.03131395 
  11845.50000000       0.03532473       0.03515592       0.03510158       0.03480802       0.03430716       0.03367326       0.03300967       0.03271603       0.03241080       0.03209890       0.03183749       0.03170718       0.03157524       0.03144344       0.03136398       0.03131395 
  11846.00000000       0.03532476       0.03515597       0.03510162       0.03480807       0.03430719       0.03367329       0.03300970       0.03271604       0.03241082       0.03209890       0.03183749       0.03170719       0.03157524       0.03144344       0.03136399       0.03131395 
  11846.50000000       0.03532479       0.03515602       0.03510167       0.03480813       0.03430722       0.03367332       0.03300973       0.03271605       0.03241082       0.03209892       0.03183749       0.03170719       0.03157524       0.03144344       0.03136399       0.03131396 
  11847.00000000       0.03532481       0.03515606       0.03510172       0.03480818       0.03430725       0.03367335       0.03300975       0.03271606       0.03241083       0.03209892       0.03183749       0.03170719       0.03157524       0.03144345       0.03136399       0.03131396 
