       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11765.50000000 UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF 
  11766.00000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587700       0.04589507       0.04591317       0.04593142       0.04592831       0.04592032       0.04591240 
  11766.50000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587700       0.04589507       0.04591317       0.04593142       0.04592831       0.04592032       0.04591241 
  11767.00000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587700       0.04589507       0.04591317       0.04593142       0.04592831       0.04592032       0.04591241 
  11767.50000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587700       0.04589507       0.04591317       0.04593142       0.04592831       0.04592032       0.04591241 
  11768.00000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587700       0.04589507       0.04591317       0.04593142       0.04592831       0.04592032       0.04591241 
  11768.50000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587700       0.04589507       0.04591317       0.04593142       0.04592831       0.04592032       0.04591241 
  11769.00000000       0.04592554       0.04591855       0.04590809       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589507       0.04591317       0.04593141       0.04592831       0.04592032       0.04591241 
  11769.50000000       0.04592554       0.04591855       0.04590810       0.04589702       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591317       0.04593141       0.04592831       0.04592032       0.04591241 
  11770.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591317       0.04593141       0.04592831       0.04592032       0.04591241 
  11770.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591317       0.04593141       0.04592831       0.04592032       0.04591241 
  11771.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588596       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591316       0.04593141       0.04592831       0.04592032       0.04591241 
  11771.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591316       0.04593141       0.04592831       0.04592032       0.04591241 
  11772.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591316       0.04593141       0.04592831       0.04592032       0.04591241 
  11772.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591316       0.04593141       0.04592832       0.04592032       0.04591241 
  11773.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591316       0.04593141       0.04592832       0.04592032       0.04591241 
  11773.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589506       0.04591316       0.04593141       0.04592832       0.04592032       0.04591241 
  11774.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589505       0.04591316       0.04593141       0.04592832       0.04592032       0.04591241 
  11774.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589505       0.04591316       0.04593141       0.04592832       0.04592032       0.04591241 
  11775.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587699       0.04589505       0.04591316       0.04593140       0.04592832       0.04592032       0.04591241 
  11775.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591316       0.04593140       0.04592832       0.04592032       0.04591241 
  11776.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591316       0.04593140       0.04592832       0.04592032       0.04591241 
  11776.50000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591316       0.04593140       0.04592832       0.04592032       0.04591241 
  11777.00000000       0.04592554       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591316       0.04593140       0.04592832       0.04592033       0.04591241 
  11777.50000000       0.04592555       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11778.00000000       0.04592555       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11778.50000000       0.04592555       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11779.00000000       0.04592555       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11779.50000000       0.04592555       0.04591855       0.04590810       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11780.00000000       0.04592555       0.04591855       0.04590811       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
